Date,Dividend (ratio)
12/31/2020,0.0198
12/31/2019,0.0223
12/31/2018,0.0243
12/31/2017,0.021
12/31/2016,0.0242
12/31/2015,0.025
12/31/2014,0.0218
12/31/2013,0.0223
12/31/2012,0.0272
12/31/2011,0.0271
12/31/2010,0.0254
12/31/2009,0.0263
12/31/2008,0.0361
12/31/2007,0.0235
12/31/2006,0.0224
12/31/2005,0.023
12/31/2004,0.0222
12/31/2003,0.02
12/31/2002,0.0227
12/31/2001,0.0181
12/31/2000,0.016
12/31/1999,0.0147
12/31/1998,0.0165
12/31/1997,0.0172
12/31/1996,0.0203
12/31/1995,0.0228
12/31/1994,0.0276
12/31/1993,0.0265
12/31/1992,0.0305
12/31/1991,0.03
12/31/1990,0.0394
12/31/1989,0.0374
12/31/1988,0.0367
12/31/1987,0.0367
12/31/1986,0.0354
12/31/1985,0.0401
12/31/1984,0.05
12/31/1983,0.0448
12/31/1982,0.0517
12/31/1981,0.0643
12/31/1980,0.0564
12/31/1979,0.0608
12/31/1978,0.0603
12/31/1977,0.0552
12/31/1976,0.0412
12/31/1975,0.0439
12/31/1974,0.0612
12/31/1973,0.0415
12/31/1972,0.0316
12/31/1971,0.0347
12/31/1970,0.0376
12/31/1969,0.0424
12/31/1968,0.0332
12/31/1967,0.0334
12/31/1966,0.0406
12/31/1965,0.0295
12/31/1964,0.0357
12/31/1963,0.0307
12/31/1962,0.0357
12/31/1961,0.0311
12/31/1960,0.0347
12/31/1959,0.0305
12/31/1958,0.0343
12/31/1957,0.0496
12/31/1956,0.046
12/31/1955,0.0442
12/31/1954,0.0432
12/31/1953,0.0574
12/31/1952,0.0529
12/31/1951,0.0607
12/31/1950,0.0685
12/31/1949,0.0639
12/31/1948,0.0649
12/31/1947,0.0508
12/31/1946,0.0423
12/31/1945,0.0347
12/31/1944,0.0431
12/31/1943,0.0464
12/31/1942,0.0536
12/31/1941,0.0684
12/31/1940,0.0538
12/31/1939,0.0407
12/31/1938,0.0322
12/31/1937,0.0727
12/31/1936,0.0392
12/31/1935,0.0316
12/31/1934,0.0352
12/31/1933,0.034
12/31/1932,0.0771
12/31/1931,0.1078
12/31/1930,0.0676
12/31/1929,0.0513
12/31/1928,0
12/31/1927,0
12/31/1926,0
12/31/1925,0
12/31/1924,0
12/31/1923,0
12/31/1922,0
12/31/1921,0
12/31/1920,0
12/31/1919,0
12/31/1918,0
12/31/1917,0
12/31/1916,0
12/31/1915,0
12/31/1914,0
12/31/1913,0
12/31/1912,0
12/31/1911,0
12/31/1910,0
12/31/1909,0
12/31/1908,0
12/31/1907,0
12/31/1906,0
12/31/1905,0
12/31/1904,0
12/31/1903,0
12/31/1902,0
12/31/1901,0
12/31/1900,0
