Date,Dividend (ratio)
1/25/2022,0.0139
12/31/2021,0.0129
12/31/2020,0.0158
12/31/2019,0.0183
12/31/2018,0.0209
12/31/2017,0.0184
12/31/2016,0.0203
12/31/2015,0.0211
12/31/2014,0.0192
12/31/2013,0.0194
12/31/2012,0.022
12/31/2011,0.0213
12/31/2010,0.0183
12/31/2009,0.0202
12/31/2008,0.0323
12/31/2007,0.0187
12/31/2006,0.0176
12/31/2005,0.0176
12/31/2004,0.0162
12/31/2003,0.0161
12/31/2002,0.0179
12/31/2001,0.0137
12/31/2000,0.0122
12/31/1999,0.0117
12/31/1998,0.0136
12/31/1997,0.0161
12/31/1996,0.02
12/31/1995,0.0224
12/31/1994,0.0289
12/31/1993,0.027
12/31/1992,0.0284
12/31/1991,0.0314
12/31/1990,0.0368
12/31/1989,0.0317
12/31/1988,0.0353
12/31/1987,0.0366
12/31/1986,0.0333
12/31/1985,0.0381
12/31/1984,0.0458
12/31/1983,0.0431
12/31/1982,0.0493
12/31/1981,0.0536
12/31/1980,0.0461
12/31/1979,0.0524
12/31/1978,0.0528
12/31/1977,0.0498
12/31/1976,0.0387
12/31/1975,0.0415
12/31/1974,0.0537
12/31/1973,0.0357
12/31/1972,0.0268
12/31/1971,0.031
12/31/1970,0.0349
12/31/1969,0.0347
12/31/1968,0.0288
12/31/1967,0.0306
12/31/1966,0.0353
12/31/1965,0.0297
12/31/1964,0.0298
12/31/1963,0.0307
12/31/1962,0.034
12/31/1961,0.0282
12/31/1960,0.0343
12/31/1959,0.031
12/31/1958,0.0327
12/31/1957,0.0444
12/31/1956,0.0375
12/31/1955,0.0361
12/31/1954,0.044
12/31/1953,0.0584
12/31/1952,0.0541
12/31/1951,0.0602
12/31/1950,0.0744
12/31/1949,0.0689
12/31/1948,0.0612
12/31/1947,0.0559
12/31/1946,0.0469
12/31/1945,0.0381
12/31/1944,0.0489
12/31/1943,0.0531
12/31/1942,0.062
12/31/1941,0.0811
12/31/1940,0.0636
12/31/1939,0.0501
12/31/1938,0.0402
12/31/1937,0.0726
12/31/1936,0.0422
12/31/1935,0.036
12/31/1934,0.0486
12/31/1933,0.0441
12/31/1932,0.0733
12/31/1931,0.0972
12/31/1930,0.0632
12/31/1929,0.0453
12/31/1928,0.0367
12/31/1927,0.0441
12/31/1926,0.0511
12/31/1925,0.0482
12/31/1924,0.0541
12/31/1923,0.062
12/31/1922,0.0581
12/31/1921,0.0629
12/31/1920,0.0749
12/31/1919,0.0594
12/31/1918,0.0722
12/31/1917,0.1015
12/31/1916,0.0571
12/31/1915,0.0454
12/31/1914,0.0571
12/31/1913,0.0597
12/31/1912,0.0512
12/31/1911,0.0516
12/31/1910,0.0519
12/31/1909,0.0427
12/31/1908,0.0443
12/31/1907,0.067
12/31/1906,0.0407
12/31/1905,0.0346
12/31/1904,0.0376
12/31/1903,0.0533
12/31/1902,0.041
12/31/1901,0.0403
12/31/1900,0.0437
